85,547,4
76,530,5
54,538,6
61,563,6
83,583,7
110,576,7
103,592,3
138,566,6
163,534,6
185,488,6
201,443,6
222,383,6
238,335,6
251,287,6
221,302,6
213,351,6
199,406,6
183,462,6
166,503,6
160,557,5
188,519,5
226,421,5
57,590,2
91,608,2
139,599,2
35,554,2
134,587,1
243,255,6
274,243,6
269,209,6
292,194,6
305,221,5
304,247,4
253,231,1
279,267,3
255,312,3
244,360,2
261,327,1
244,391,1
222,462,3
211,488,2
199,522,1
190,544,2
167,578,1
318,271,2
334,301,2
42,518,2
60,518,1
428,137,6
468,133,6
506,139,6
542,149,6
576,159,6
607,176,6
634,190,6
661,204,6
690,203,6
712,207,6
449,154,7
488,154,6
526,168,6
557,180,6
591,200,6
622,210,6
650,229,6
682,225,6
479,179,6
518,198,6
555,212,6
592,231,6
626,250,6
658,267,6
622,279,7
577,259,6
537,239,6
643,311,7
455,189,3
483,207,5
505,235,3
468,227,2
480,245,3
492,274,2
518,250,1
513,270,2
546,278,4
502,305,4
527,297,2
551,317,3
528,318,1
501,336,3
521,350,2
542,375,4
551,342,3
566,360,2
559,388,1
506,367,3
502,396,2
521,380,1
533,331,1
551,303,1
487,347,1
495,407,1
472,264,1
449,206,2
427,165,2
586,293,4
612,312,2
579,320,3
598,346,4
607,375,4
640,365,4
666,388,4
698,413,5
627,406,5
582,381,2
578,348,1
634,337,3
694,376,4
669,350,5
701,357,2
712,334,1
680,327,2
671,298,3
690,306,2
709,319,2
713,299,1
656,432,4
677,245,3
688,276,2
693,256,1
708,234,2
716,270,2
728,243,3
739,204,2
736,224,1
781,525,2
807,520,3
828,541,2
846,543,1
837,515,2
830,482,3
759,494,4
794,490,2
780,506,1
752,466,2
743,442,1
828,442,3
808,469,2
796,430,3
784,471,2
774,444,1
833,409,3
851,387,1
857,364,2
869,349,1
832,379,2
842,353,1
852,337,2
870,325,3
883,302,2
740,415,3
768,409,2
732,383,2
725,350,1
732,326,2
814,496,1
794,285,6
798,395,2
806,364,3
820,335,2
836,312,1
792,317,4
763,300,3
782,343,2
760,334,1
752,362,3
772,381,2
786,374,1
766,265,3
742,276,2
738,299,1
761,235,3
770,200,4
821,290,3
792,251,2
854,308,2
862,287,1
868,267,2
844,273,1
840,289,1
814,264,3
837,254,2
815,244,1
786,230,2
800,208,2
827,210,1
816,222,1
837,226,2
852,210,1
861,240,2
864,220,1
881,238,1
905,568,5
912,520,5
882,521,4
924,494,2
939,509,1
944,526,3
929,553,2
925,563,1
893,543,1
899,503,1
928,476,1
908,544,1
